,True_value,Prediction_value,method
0,0.992785,0.90871805,ANN
1,0.810932,0.79922223,ANN
2,0.985127,0.95988446,ANN
3,0.200544,0.27403113,ANN
4,0.074312,0.056378596,ANN
5,0.382991,0.41940522,ANN
6,1.0,0.96682614,ANN
7,1.0,0.9944711,ANN
8,0.952414,0.84345216,ANN
9,0.97493,0.9686525,ANN
10,0.636309,0.6069409,ANN
11,0.985196,0.9287736,ANN
12,0.224345,0.3525719,ANN
13,1.0,0.9820742,ANN
14,0.963305,0.974743,ANN
15,0.050954,0.07846755,ANN
16,0.481172,0.57000846,ANN
17,0.0,0.0023871968,ANN
18,0.053768,0.07534338,ANN
19,0.893045,0.8446893,ANN
20,0.03474,0.113954954,ANN
21,0.36576,0.4237764,ANN
22,0.56902,0.6358573,ANN
23,0.889914,0.8715289,ANN
24,0.680283,0.57150334,ANN
25,0.996494,0.99505866,ANN
26,0.935524,0.8701429,ANN
27,0.797093,0.75389785,ANN
28,0.280338,0.3014741,ANN
29,0.027285,0.3996938,ANN
30,0.966372,0.92260015,ANN
31,0.066362,0.108843505,ANN
32,0.538509,0.6428274,ANN
33,0.760949,0.74325556,ANN
34,0.996285,0.9537433,ANN
35,1.0,0.99803287,ANN
36,0.006757,0.013513523,ANN
37,0.956109,0.93556595,ANN
38,0.986023,0.9993895,ANN
39,0.832854,0.90535796,ANN
40,0.740294,0.8025443,ANN
41,0.386465,0.2586479,ANN
42,1.0,0.9986187,ANN
43,1.0,0.9999409,ANN
44,0.26704,0.26356283,ANN
45,0.824608,0.9648981,ANN
46,1.0,0.9967469,ANN
47,0.010845,0.033646144,ANN
48,0.96586,0.9485178,ANN
49,0.561013,0.5336718,ANN
50,0.827469,0.81553686,ANN
51,1.0,0.9998994,ANN
52,0.759107,0.7730465,ANN
53,0.739799,0.8293169,ANN
54,1.0,0.975009,ANN
55,1.0,0.9989882,ANN
56,0.922631,0.85467947,ANN
57,0.82359,0.77251285,ANN
58,0.986495,0.9992787,ANN
59,0.319097,0.23239696,ANN
60,0.538948,0.32860658,ANN
61,0.017949,0.032169193,ANN
62,0.298464,0.27400166,ANN
63,0.76032,0.81877655,ANN
64,0.0,0.039115086,ANN
65,0.855399,0.90349066,ANN
66,0.529524,0.4589166,ANN
67,1.0,0.99995697,ANN
68,0.827029,0.76586604,ANN
69,0.767784,0.7715811,ANN
70,0.05487,0.0647091,ANN
71,0.9291,0.96010387,ANN
72,0.331585,0.24946423,ANN
73,1.0,0.9999943,ANN
74,0.236913,0.30540982,ANN
75,0.932701,0.8593804,ANN
76,0.054015,0.032527618,ANN
77,0.485295,0.46278635,ANN
78,0.89222,0.899763,ANN
79,0.055832,0.062644295,ANN
80,0.337832,0.33794624,ANN
81,0.990697,0.99848807,ANN
82,0.996537,0.99472356,ANN
83,1.0,0.97025913,ANN
84,0.490324,0.62466574,ANN
85,1.0,0.97685564,ANN
86,0.635097,0.670667,ANN
87,0.919938,0.95410377,ANN
88,0.916727,0.8670376,ANN
89,0.855396,0.24593963,ANN
90,0.213371,0.070034415,ANN
91,0.349249,0.49916217,ANN
92,1.0,0.9999701,ANN
93,0.743515,0.7456613,ANN
94,1.0,0.9999925,ANN
95,0.729826,0.69004166,ANN
96,0.020909,0.053755146,ANN
97,0.248786,0.3261809,ANN
98,0.692721,0.52562183,ANN
99,0.984567,0.9962244,ANN
100,0.977028,0.9714289,ANN
101,0.589916,0.5666391,ANN
102,0.604093,0.5777823,ANN
103,0.789434,0.79593766,ANN
104,0.87597,0.847357,ANN
105,0.975542,0.94905406,ANN
106,0.865658,0.8918499,ANN
107,0.88243,0.8796359,ANN
108,0.654162,0.67938465,ANN
109,0.993238,0.9884418,ANN
110,0.3839,0.47503182,ANN
111,0.296302,0.24454342,ANN
112,0.989973,0.9641666,ANN
113,0.921094,0.9255433,ANN
114,0.150134,0.18264392,ANN
115,0.959759,0.9715688,ANN
116,0.892921,0.92303807,ANN
117,0.687259,0.69695485,ANN
118,0.256801,0.24067476,ANN
119,0.979035,0.98283845,ANN
120,0.08285,0.11036064,ANN
121,0.946568,0.96133983,ANN
122,0.483124,0.36594227,ANN
123,0.23319,0.32499406,ANN
124,1.0,0.98530364,ANN
125,0.736496,0.67028594,ANN
126,0.985412,0.8957628,ANN
127,0.967892,0.9795894,ANN
128,0.727149,0.8390447,ANN
129,0.455446,0.32542595,ANN
130,0.997043,0.99762696,ANN
131,0.932474,0.9678877,ANN
132,0.780539,0.7806791,ANN
133,0.299416,0.27726,ANN
134,1.0,0.99948114,ANN
135,0.977288,0.96631217,ANN
136,0.274227,0.32776022,ANN
137,0.94831,0.9322846,ANN
138,0.78415,0.75502527,ANN
139,0.787517,0.81947464,ANN
140,0.39269,0.58396703,ANN
141,0.247886,0.25065082,ANN
142,0.132764,0.13947082,ANN
143,0.638385,0.69476146,ANN
144,0.097297,0.13060099,ANN
145,0.986291,0.97576874,ANN
146,0.62906,0.50605595,ANN
147,0.992836,0.98196685,ANN
148,0.660453,0.54457426,ANN
149,0.528728,0.5337908,ANN
150,0.893945,0.9023694,ANN
151,1.0,0.98042035,ANN
152,0.701186,0.7523967,ANN
153,0.996127,0.97867674,ANN
154,0.987467,0.9776959,ANN
155,0.530098,0.6636392,ANN
156,1.0,0.9602719,ANN
157,0.769881,0.7571378,ANN
158,0.246275,0.2920874,ANN
159,0.492104,0.46936166,ANN
160,0.453688,0.4429265,ANN
161,0.265736,0.17084682,ANN
162,0.448971,0.45764354,ANN
163,0.650062,0.6247751,ANN
164,0.118516,0.22086032,ANN
165,1.0,0.9815972,ANN
166,0.903703,0.9133232,ANN
167,0.846487,0.8463049,ANN
168,0.828291,0.53854334,ANN
169,0.091351,0.22694457,ANN
170,1.003309,0.9755263,ANN
171,1.0,0.9999528,ANN
172,0.058112,0.08806732,ANN
173,0.692786,0.66013986,ANN
174,0.029732,0.0059985807,ANN
175,0.936662,0.9572805,ANN
176,0.500313,0.5729848,ANN
177,0.954889,0.8837636,ANN
178,0.976275,0.95703053,ANN
179,0.996405,0.5254118,ANN
180,0.606363,0.63166636,ANN
181,0.987919,0.944351,ANN
182,0.943425,0.9582978,ANN
183,0.877952,0.8575983,ANN
184,0.781595,0.8513936,ANN
185,0.01961,0.017285638,ANN
186,0.810839,0.79031366,ANN
187,0.023408,0.040914714,ANN
188,0.989823,0.96444607,ANN
189,0.615385,0.5373756,ANN
190,0.053768,0.13935012,ANN
191,0.812617,0.75505185,ANN
192,0.948749,0.94905585,ANN
193,0.613408,0.5988099,ANN
194,0.975505,0.974898,ANN
195,0.498696,0.4474603,ANN
196,0.932329,0.9801088,ANN
197,1.0,0.97619814,ANN
198,0.736115,0.6498403,ANN
199,0.372561,0.3263923,ANN
200,0.555099,0.65080553,ANN
201,0.976446,0.9315256,ANN
202,0.415426,0.4465949,ANN
203,0.987469,0.9712086,ANN
204,0.466129,0.46200132,ANN
205,0.818888,0.8250257,ANN
206,0.83238,0.76549834,ANN
207,0.823883,0.7412982,ANN
208,0.368665,0.3135881,ANN
209,0.551888,0.5451441,ANN
210,0.140627,0.12809613,ANN
211,0.374023,0.29222682,ANN
212,1.0,0.9696443,ANN
213,0.96518,0.9555013,ANN
214,0.742661,0.724616,ANN
215,1.0,0.9950529,ANN
216,0.857748,0.71985286,ANN
217,0.939636,0.8755082,ANN
218,0.533172,0.5924092,ANN
219,0.757783,0.7755354,ANN
220,0.103777,0.10712848,ANN
221,0.060319,0.117534585,ANN
222,0.573513,0.50222135,ANN
223,0.565096,0.5396393,ANN
224,0.515462,0.46365738,ANN
225,0.166441,0.16195627,ANN
226,0.983062,0.9914545,ANN
227,0.967759,0.99068964,ANN
228,0.870396,0.8577853,ANN
229,0.013036,0.0056870827,ANN
230,0.844869,0.8581403,ANN
231,0.980117,0.9674865,ANN
232,0.947537,0.9578467,ANN
233,0.765251,0.7669535,ANN
234,0.975918,0.962839,ANN
235,0.0,0.010818306,ANN
236,0.462698,0.3936489,ANN
237,0.993886,0.95422745,ANN
238,0.658275,0.61493254,ANN
239,1.0,0.954471,ANN
240,0.038802,0.033867586,ANN
241,0.993459,0.9957359,ANN
242,0.90398,0.92339444,ANN
243,0.672174,0.5911822,ANN
244,0.305643,0.37885976,ANN
245,0.987718,0.98300683,ANN
246,0.474155,0.4092251,ANN
247,0.967402,0.97576874,ANN
248,0.995327,0.999127,ANN
249,0.472992,0.39352542,ANN
250,0.095335,0.06993663,ANN
251,0.99537,0.97496086,ANN
252,1.0,0.9866312,ANN
253,0.500324,0.6136475,ANN
254,0.607684,0.54601014,ANN
255,0.986567,0.97220796,ANN
256,0.271049,0.15644768,ANN
257,0.72404,0.79390484,ANN
258,0.66394,0.6525929,ANN
259,0.5976,0.6185696,ANN
260,0.191415,0.37956306,ANN
261,0.903644,0.9307349,ANN
262,0.824857,0.8999042,ANN
263,1.0,0.9999045,ANN
264,0.139315,0.12193442,ANN
265,0.130119,0.11374144,ANN
266,0.376185,0.34566137,ANN
267,0.982218,0.94632137,ANN
268,0.646323,0.6632586,ANN
269,0.976525,0.9929147,ANN
270,0.985974,0.95163614,ANN
271,0.901961,0.9217636,ANN
272,0.052792,0.05340338,ANN
273,0.458345,0.41398633,ANN
274,0.049246,0.08714125,ANN
275,0.785788,0.77064615,ANN
276,0.706065,0.73841155,ANN
277,0.265682,0.2046398,ANN
278,0.629618,0.5592829,ANN
279,0.034113,0.07477663,ANN
280,0.623645,0.7045758,ANN
281,0.763297,0.76048297,ANN
282,0.217074,0.30390635,ANN
283,0.207996,0.17179719,ANN
284,0.81828,0.78136915,ANN
285,0.774455,0.79476416,ANN
286,0.165043,0.09416409,ANN
287,0.975961,0.8021247,ANN
288,0.463877,0.46286684,ANN
289,0.955806,0.94070405,ANN
290,0.226875,0.12347424,ANN
291,0.989059,0.96154916,ANN
292,0.493126,0.61706996,ANN
293,0.070682,0.16787063,ANN
294,1.0,0.9998629,ANN
295,0.093911,0.058780972,ANN
296,0.0718,0.06701883,ANN
297,0.35416,0.42698556,ANN
298,0.747314,0.7777998,ANN
299,0.835443,0.92349637,ANN
300,0.525785,0.54978013,ANN
301,0.843799,0.8184557,ANN
302,0.197871,0.21082728,ANN
303,0.029853,0.0658596,ANN
304,0.976207,0.94006604,ANN
305,0.596342,0.55794096,ANN
306,0.903905,0.9161472,ANN
307,1.0,0.99975854,ANN
308,0.276848,0.10903115,ANN
309,0.960935,0.9500163,ANN
310,0.751572,0.88462895,ANN
311,0.880037,0.91446036,ANN
312,0.595853,0.62909436,ANN
313,0.928149,0.8821368,ANN
314,0.969716,0.9160353,ANN
315,0.048947,0.08638139,ANN
316,0.078356,0.11134149,ANN
317,0.085392,0.0865471,ANN
318,1.0,0.9826576,ANN
319,0.330359,0.33527315,ANN
320,0.899452,0.88170856,ANN
321,0.134676,0.14414659,ANN
322,0.912367,0.84190637,ANN
323,0.0,0.09936743,ANN
324,0.923882,0.93422955,ANN
325,0.575686,0.5712756,ANN
326,0.028322,0.038779125,ANN
327,0.314957,0.37920097,ANN
328,0.497911,0.5400113,ANN
329,0.709442,0.52713275,ANN
330,1.0,0.99408096,ANN
331,1.0,0.99502736,ANN
332,0.773146,0.7145064,ANN
333,0.645499,0.7117929,ANN
334,1.0,0.98508126,ANN
335,0.0,0.0019334143,ANN
336,0.314346,0.24703985,ANN
337,0.996494,0.9602556,ANN
338,0.73887,0.8229783,ANN
339,0.624318,0.6135577,ANN
340,0.901374,0.9465742,ANN
341,1.0,0.99167913,ANN
342,0.268816,0.22894457,ANN
343,0.280948,0.25851372,ANN
344,0.053609,0.12689058,ANN
345,0.966797,0.97492707,ANN
346,0.779944,0.7376257,ANN
347,0.977433,0.9800412,ANN
348,0.965492,0.93812704,ANN
349,1.0,0.98923045,ANN
350,0.922855,0.92397255,ANN
351,0.440212,0.44860703,ANN
352,0.107954,0.3359027,ANN
353,0.787597,0.7111284,ANN
354,0.817067,0.7591058,ANN
355,0.010058,0.038858477,ANN
356,0.969371,0.97245985,ANN
357,0.457388,0.48424834,ANN
358,0.04743,0.08648128,ANN
359,0.123827,0.16563542,ANN
360,0.706901,0.6902102,ANN
361,0.728306,0.8336353,ANN
362,0.970019,0.96309096,ANN
363,0.893614,0.87837446,ANN
364,0.956726,0.95531875,ANN
365,0.935178,0.9160553,ANN
366,0.747443,0.65926343,ANN
367,0.909091,0.90451443,ANN
368,0.461348,0.24868785,ANN
369,1.0,0.99294585,ANN
370,0.141776,0.085864425,ANN
371,0.781894,0.6941162,ANN
372,0.896088,0.85952604,ANN
373,0.302795,0.3912227,ANN
374,0.069008,0.027796254,ANN
375,0.947856,0.9192019,ANN
376,0.949694,0.93530697,ANN
377,0.269337,0.2773206,ANN
378,0.337588,0.50078,ANN
379,0.964304,0.956589,ANN
380,0.418782,0.5244287,ANN
381,0.897801,0.8336353,ANN
382,1.0,0.98587054,ANN
383,0.891443,0.9331844,ANN
384,0.228693,0.29358807,ANN
385,0.758553,0.8719793,ANN
386,0.095793,0.10769882,ANN
387,0.880722,0.89272743,ANN
388,0.590406,0.64399916,ANN
389,0.107676,0.10121114,ANN
390,0.119081,0.11448601,ANN
391,0.812828,0.81715506,ANN
392,0.646488,0.6811105,ANN
393,0.92585,0.9250391,ANN
394,0.006778,0.0052839466,ANN
395,0.9414,0.93635666,ANN
396,0.94884,0.8822854,ANN
397,0.503417,0.5575527,ANN
398,0.715828,0.6575598,ANN
399,0.923606,0.91985536,ANN
400,0.563424,0.5966821,ANN
401,0.559749,0.55020195,ANN
402,0.437312,0.36599427,ANN
403,0.739799,0.7962631,ANN
404,0.689307,0.71380115,ANN
405,0.842809,0.9117621,ANN
406,0.811013,0.788952,ANN
407,0.056493,0.14636579,ANN
408,0.243556,0.3184101,ANN
409,0.685849,0.71173054,ANN
410,0.992836,0.9853402,ANN
411,0.54363,0.5337908,ANN
412,1.0,0.90721136,ANN
413,0.993923,0.9888025,ANN
414,0.554558,0.37364358,ANN
415,0.894295,0.85151094,ANN
416,0.996142,0.9361742,ANN
417,0.651119,0.6339195,ANN
418,0.920319,0.9296316,ANN
419,0.776456,0.8008137,ANN
420,0.050606,0.5788227,ANN
421,0.842218,0.8499031,ANN
422,1.0,0.9885688,ANN
423,0.893174,0.8952418,ANN
424,0.441848,0.4162988,ANN
425,0.780213,0.86853033,ANN
426,0.125938,0.8242594,ANN
427,0.96693,0.9731418,ANN
428,0.084398,0.07747176,ANN
429,0.96529,0.92704767,ANN
430,0.993511,0.99316883,ANN
431,0.149446,0.14958377,ANN
432,0.434992,0.3745965,ANN
433,0.520976,0.5330291,ANN
434,0.072244,0.12946285,ANN
435,0.21476,0.19498774,ANN
436,0.985168,0.96564776,ANN
437,0.000678,0.029416785,ANN
438,0.832882,0.837434,ANN
439,0.064542,0.08835911,ANN
440,0.993653,0.96125764,ANN
441,1.0,0.9965107,ANN
442,1.0,0.99998534,ANN
443,0.586016,0.53190494,ANN
444,0.435573,0.4514833,ANN
445,0.967414,0.98280704,ANN
446,0.918343,0.9651195,ANN
447,0.765801,0.84460366,ANN
448,1.0,0.99962664,ANN
449,0.38207,0.40311396,ANN
450,0.621502,0.66480005,ANN
451,0.647368,0.57929695,ANN
452,1.0,0.9994655,ANN
453,0.910598,0.91815287,ANN
454,0.736286,0.8077683,ANN
455,0.759865,0.72789943,ANN
456,0.989019,0.9573321,ANN
457,1.0,0.93335205,ANN
458,1.0,0.9990727,ANN
459,1.0,0.9952468,ANN
460,1.0,0.9999422,ANN
461,1.0,0.9960323,ANN
462,1.0,0.981189,ANN
463,0.674678,0.68534005,ANN
464,0.0,0.02532948,ANN
465,0.916999,0.89999455,ANN
466,0.103245,0.26531345,ANN
467,0.981074,0.998178,ANN
468,0.344939,0.33407354,ANN
469,0.076038,0.06864308,ANN
470,0.985875,0.96338904,ANN
471,0.0,0.05786424,ANN
472,0.731665,0.75776964,ANN
473,0.918239,0.9346048,ANN
474,0.990347,0.9811193,ANN
475,0.48288,0.69468296,ANN
476,0.824437,0.82925963,ANN
477,0.041455,0.086664505,ANN
478,0.570044,0.57753146,ANN
479,0.67833,0.82785577,ANN
480,0.833207,0.8133433,ANN
481,0.598936,0.6690806,ANN
482,0.689176,0.6712401,ANN
483,0.612287,0.74928814,ANN
484,0.526098,0.5287286,ANN
485,0.915651,0.966411,ANN
486,0.460815,0.5159158,ANN
487,0.327474,0.2567333,ANN
488,0.897801,0.91761625,ANN
489,0.583282,0.5074967,ANN
490,0.77084,0.74128866,ANN
491,0.658507,0.5696349,ANN
492,0.367199,0.3713903,ANN
493,1.0,0.99859816,ANN
494,0.006412,0.027504042,ANN
